
9/9/2019 11:23,58,,5.49,2,2
9/9/2019 11:23,35,,3.96,3,1
9/9/2019 11:23,34,,3.05,3,1
9/9/2019 11:23,58,,4.88,2,2
9/9/2019 11:23,43,,6.4,4,1
9/9/2019 11:23,34,,2.74,3,1
9/9/2019 11:23,42,,5.18,4,1
9/9/2019 11:24,31,,2.74,1,2
9/9/2019 11:24,43,,5.18,3,1
9/9/2019 11:24,34,,4.57,4,1
9/9/2019 11:24,40,,3.66,3,1
9/9/2019 11:24,34,,3.66,2,2
9/9/2019 11:24,35,,3.35,4,1
9/9/2019 11:24,37,,4.88,3,1
9/9/2019 11:24,43,,2.74,2,2
9/9/2019 11:24,31,,3.96,3,1
9/9/2019 11:24,39,,3.05,2,2
9/9/2019 11:24,42,,3.35,2,2
9/9/2019 11:24,32,,4.88,3,1
9/9/2019 11:24,42,,4.27,2,2
9/9/2019 11:24,23,,2.74,2,2
9/9/2019 11:24,47,,2.74,2,2
9/9/2019 11:24,50,,3.66,2,2
9/9/2019 11:24,60,,6.4,2,2
9/9/2019 11:24,47,,3.96,2,2
9/9/2019 11:24,48,,2.74,4,1
9/9/2019 11:24,48,,4.27,2,2
9/9/2019 11:24,43,,3.05,2,2
9/9/2019 11:24,43,,3.05,2,2
9/9/2019 11:24,47,,4.27,2,2
9/9/2019 11:25,29,,2.74,1,2
9/9/2019 11:25,37,,2.74,2,2
9/9/2019 11:25,39,,3.96,1,2
9/9/2019 11:25,55,,3.35,3,1
9/9/2019 11:25,51,,7.32,1,2
9/9/2019 11:25,51,,3.05,3,1
9/9/2019 11:25,53,,4.27,4,1
9/9/2019 11:25,40,,2.74,4,1
9/9/2019 11:25,34,,3.66,3,1
9/9/2019 11:25,34,,3.66,1,2
9/9/2019 11:25,47,,5.18,4,1
9/9/2019 11:25,53,,4.27,3,1
9/9/2019 11:25,32,,3.96,1,2
9/9/2019 11:25,34,,4.27,1,2
9/9/2019 11:25,51,,4.57,4,1
9/9/2019 11:25,45,,4.57,2,2
9/9/2019 11:25,92,,7.92,3,1
9/9/2019 11:25,32,,5.18,2,2
9/9/2019 11:25,48,,4.88,4,1
9/9/2019 11:25,42,,5.18,4,1
9/9/2019 11:25,26,,2.74,2,2
9/9/2019 11:25,42,,3.35,4,1
9/9/2019 11:25,32,,2.74,2,2
9/9/2019 11:25,51,,3.66,3,1
9/9/2019 11:25,48,,3.96,3,1
9/9/2019 11:25,47,,4.88,2,2
9/9/2019 11:25,32,,2.74,2,2
9/9/2019 11:25,39,,3.05,1,2
9/9/2019 11:25,45,,3.35,2,2
9/9/2019 11:26,56,,4.57,2,2
9/9/2019 11:26,34,,2.74,1,2
9/9/2019 11:26,35,,4.57,1,2
9/9/2019 11:26,43,,3.96,2,2
9/9/2019 11:26,34,,3.96,1,2
9/9/2019 11:26,55,,4.88,2,2
9/9/2019 11:26,47,,5.49,1,2
9/9/2019 11:26,37,,2.74,4,2
9/9/2019 11:26,42,,4.57,2,2
9/9/2019 11:26,47,,2.74,2,2
9/9/2019 11:26,23,,2.74,2,2
9/9/2019 11:26,53,,4.57,1,2
9/9/2019 11:26,39,,3.66,1,2
9/9/2019 11:26,37,,4.27,1,2
9/9/2019 11:26,56,,4.88,3,1
9/9/2019 11:26,61,,5.49,4,1
9/9/2019 11:26,53,,4.88,3,1
9/9/2019 11:26,55,,3.96,3,1
9/9/2019 11:26,29,,2.74,2,2
9/9/2019 11:26,47,,5.49,4,1
9/9/2019 11:26,55,,4.27,3,1
9/9/2019 11:26,48,,5.79,4,1
9/9/2019 11:26,43,,5.18,2,2
9/9/2019 11:26,45,,3.35,3,1
9/9/2019 11:26,40,,2.74,4,1
9/9/2019 11:26,43,,6.4,4,1
9/9/2019 11:26,21,,2.74,2,2
9/9/2019 11:26,47,,5.18,3,1
9/9/2019 11:26,50,,4.27,2,2
9/9/2019 11:26,50,,5.18,1,2
9/9/2019 11:26,45,,3.96,3,1
9/9/2019 11:26,42,,6.1,4,1
9/9/2019 11:26,43,,3.96,3,1
9/9/2019 11:27,27,,2.74,2,2
9/9/2019 11:27,56,,14.02,3,1
9/9/2019 11:27,42,,6.4,2,2
9/9/2019 11:27,34,,3.05,1,2
9/9/2019 11:27,35,,4.27,1,2
9/9/2019 11:27,43,,5.79,2,2
9/9/2019 11:27,35,,3.05,2,2
9/9/2019 11:27,39,,4.27,2,2
9/9/2019 11:27,31,,2.74,1,2
9/9/2019 11:27,21,,2.74,1,2
9/9/2019 11:27,42,,3.96,1,2
9/9/2019 11:27,24,,2.74,2,2
9/9/2019 11:27,23,,2.74,2,1
9/9/2019 11:27,42,,2.74,2,2
9/9/2019 11:27,56,,4.57,2,2
9/9/2019 11:27,40,,2.74,2,2
9/9/2019 11:27,40,,2.74,2,2
9/9/2019 11:27,47,,4.57,2,2
9/9/2019 11:27,34,,2.74,2,2
9/9/2019 11:27,48,,3.96,2,2
9/9/2019 11:27,58,,4.88,3,1
9/9/2019 11:27,24,,2.74,2,2
9/9/2019 11:27,56,,4.57,4,1
9/9/2019 11:28,51,,3.96,3,1
9/9/2019 11:28,24,,2.74,2,1
9/9/2019 11:28,71,,6.71,4,2
9/9/2019 11:28,29,,3.35,2,2
9/9/2019 11:28,51,,4.27,3,1
9/9/2019 11:28,42,,5.18,4,1
9/9/2019 11:28,34,,4.57,2,2
9/9/2019 11:28,42,,2.74,4,1
9/9/2019 11:28,39,,4.57,3,1
9/9/2019 11:28,32,,4.57,2,2
9/9/2019 11:28,42,,5.18,4,1
9/9/2019 11:28,42,,4.88,4,1
9/9/2019 11:28,43,,4.88,3,1
9/9/2019 11:28,37,,4.88,4,1
9/9/2019 11:28,39,,3.96,3,1
9/9/2019 11:28,35,,4.27,3,1
9/9/2019 11:28,34,,4.88,3,1
