file_name;speed_profile
1Radar_13-18_1_2020;50.94331048001406,51.237962083303515,51.48554702486835,51.67713674252117,51.80380267407453,51.85661625734103,51.82664893013312,51.87242069791627,51.40967615748178,50.7556910500007,50.62192539431652,50.176324485231206,49.90013069077961,49.99671866594928,49.84946632315038,49.908284023668486,50.02564102564087,49.99999999999985,49.99999999999985,49.99999999999985,49.99999999999985,49.99999999999985,49.99999999999985,49.99999999999985,49.99999999999985,49.99999999999985,49.99999999999985,49.99999999999985,49.99999999999985,49.99999999999985,49.99999999999985,49.99999999999985,49.99999999999985,49.99999999999985,49.99999999999985,50.4244505494504,50.553639846743145,50.36059773559759,49.35160891130828,48.34447146609031,47.32020764628292,46.29439945107083,44.61754423795983,43.304133747322176,42.27848760762737,41.510740333147844,41.301370210006404,41.682606806794084,42.04980526250334,42.41457729705095,42.46986212687868,43.10196251263112,43.561654058843985,44.04377059079513,43.984493682449596,44.35814150535085,44.93348648991182,44.5262662439588,43.28757284701195,41.79149245048332,39.840190664087814,37.64184690233246,34.2932636421146,31.85390402384443,30.749931195820764,29.69140291039662,29.54707147985026,30.88984237129913,33.16084695519364,35.28874408734842,37.38040735031143,39.837766605697574,41.62670952504895,43.02335515143041,43.331123974127124,44.26823654461718,45.07262605049367,44.57747834535101,45.03969578662931,45.61500893980968,46.12031364963994,46.77496887426498,47.19205132035935,47.98926036882152,48.543934141424046,48.91374429083456,49.24948137427914,49.42493736930405,49.81071895418327,50.19225642545531,50.690872678224665,51.068747694838365,51.24881513351636,51.15400865247846,50.70726190994448,49.83150856413424
1Radar_20-25_1_2020;52.901520393606795,51.728013295456854,51.03139594233575,50.715246577426996,50.68314344391408,50.83866478498054,51.08538884380974,51.24579272579257,51.346967806967655,50.887072927072765,50.6529655529654,50.3061538461537,49.92657342657328,49.89999999999985,49.80769230769216,49.99999999999985,49.99999999999985,49.99999999999985,49.99999999999985,49.99999999999985,49.99999999999985,49.99999999999985,49.99999999999985,49.99999999999985,49.99999999999985,49.99999999999985,49.99999999999985,49.99999999999985,49.99999999999985,49.99999999999985,49.99999999999985,49.99999999999985,49.99999999999985,50.671663799459175,50.50736679801253,49.841107224624594,49.21596720057163,48.15682058657167,46.897194270217135,45.754183578976324,44.88870199716406,44.15715644809272,43.586236923086446,42.96720774066752,42.89813633027084,43.394413228486606,43.11713228679869,42.819834658448066,42.80008552319716,42.503250486892156,42.38977224309518,42.683859434813634,43.02420229522077,43.30187461828125,43.451442738164246,43.25820321611765,43.45079570425768,43.385461227883376,42.3664184914998,41.14217489090043,39.45045018673391,37.53428463014771,35.568435097436236,33.8741900908618,32.12063066686329,31.139029926263667,30.77767357124161,31.42687449814814,32.79769791319872,34.712532319805966,36.43391984799356,38.70821800282606,40.42906676824726,41.95231937362955,43.27430960824667,44.17661459817909,44.48488513201036,44.927276802765036,45.286722568949386,45.893983651500605,46.397309289214235,47.188430411344804,47.59099900750451,47.937194074595155,48.19951476528093,48.266158643030636,48.5609170739651,48.636314039937616,49.0498128126079,49.485702023973204,50.07258557342357,50.56574426141161,50.87825547922998,50.92319661817115,50.61364506952762,49.86267822459188
1Radar_27_1-1_2_2020;51.183126879074194,51.40024640889403,51.65641924254434,51.91830147360107,52.152549195640155,52.325818502237546,52.40476548696904,52.235387758432,51.9406023269658,51.55739867367759,51.06073556073541,50.361305361305206,49.77253302253287,49.609686609686456,49.865384615384464,49.99999999999985,49.99999999999985,49.99999999999985,49.99999999999985,49.99999999999985,49.99999999999985,49.99999999999985,49.99999999999985,49.99999999999985,49.99999999999985,49.99999999999985,49.99999999999985,49.99999999999985,49.99999999999985,49.99999999999985,49.99999999999985,49.99999999999985,50.577638384505185,50.72039187227851,49.94941406676201,49.12006367331484,48.16264358227609,46.76551099126429,45.387150946062505,44.2964406901828,43.334608627372624,42.862330496711834,42.58105200222204,42.90630471382927,43.53090267288165,43.69947289927829,43.37123326204266,43.221869990612284,42.95955363799144,42.539884003749606,42.33473749440028,42.258227842975636,42.28819501668369,42.66459498295281,42.91164106534333,43.43214342553049,44.078228078625855,44.25869613987042,43.457753228793536,42.41005406278645,40.829015399124245,38.79012693033003,36.65424509461845,34.41219281003295,32.663181043410916,31.82751537524736,32.07615407833272,33.451153115465104,35.649456280275196,37.69833385104948,39.6194037813776,41.562731998763894,42.9082673257739,43.78728263837416,44.293550008468664,44.21726696562496,44.008005183201995,44.14267869562967,44.55076572067854,45.026084058121796,45.65215173023012,46.22747262187201,46.63352101880909,46.987590746128895,47.53973553388069,47.719239063953374,47.80953124506977,47.65790855515328,47.79960458273673,47.9521944563062,48.128582748162785,48.35605529955461,48.64523348162265,49.00673866550769,49.451192222350585,49.989215523292145
1Radar_6-11_1_2020;51.657780646738914,52.54944333256584,53.06931959061424,53.29467730040672,53.30278434146588,53.170908593314344,52.97631793547457,53.05400804962107,53.447136309266924,53.48937530757832,53.33101193714988,53.08705997208628,52.79119245768846,52.10446710152576,51.61940514728222,51.149487767134666,50.46658439599601,50.02920608802946,49.56410256410241,49.73755656108582,49.99999999999985,49.99999999999985,49.99999999999985,49.99999999999985,49.99999999999985,49.99999999999985,49.99999999999985,49.99999999999985,49.99999999999985,49.99999999999985,49.99999999999985,49.99999999999985,49.99999999999985,49.99999999999985,49.99999999999985,50.35777188328897,50.32883026064829,50.061732309097685,49.52419527376406,48.793793883738395,48.12324424886886,47.456333197123385,46.894803198170905,46.287111656529945,45.768292028186195,45.46695425493343,45.466365276896795,46.19311539394654,45.84649286311095,45.57995482737841,45.168129473571796,44.93701962930531,44.98258994957129,45.00381679088612,45.1385572832908,45.04221704069053,45.27950341827953,45.30278770692877,45.513835385598185,45.56721343502668,43.93491800183266,42.644971900205405,40.980923076400735,39.77286689777645,39.020896775156324,38.69616933356918,38.9901377942554,39.76563616873396,41.32982991187237,42.610930186133075,44.237940312468034,45.4545729227579,45.86220583470525,46.39206120233533,46.503842257171854,46.711554812994535,46.927515470358685,47.17195639838557,47.457911910950536,47.82797755944928,48.22693589765363,48.48773939854562,48.891164294436834,49.437524275529626,49.83244137086602,50.12066173480866,50.412189649593984,50.5787993543029,50.567831005038414,50.75902685608864,50.76417202384121,50.73951099008579,50.699555504442245,50.65881731653031,50.63180817596971,50.63303983238018
2Radar_10-15_2_2020;50.61883784402583,51.12722891169335,51.499132846430996,51.75360204417908,51.90968890087792,51.98644581246782,52.00292517488897,53.045915435731914,52.005176924542624,50.952291090175265,50.75965016028522,49.97956213389101,49.205141571870364,48.904578763466205,48.35036124865832,48.00006697742065,47.35513149795432,46.87376321970309,47.11642275404591,47.151775709268165,45.461188298104496,44.039969165824274,42.66502424231851,41.67008032710346,41.40839468922587,42.308801652256925,43.21572346061885,44.46589610559309,45.79981648865217,47.340085586055594,49.861625061505514,50.93633755479433,50.995001772282365,49.63993530590499,47.35114760966423,45.82174131972713,44.203153299866415,42.74046275097879,41.874164099349635,41.11451362181755,41.047551850373,41.871554523560434,42.84337567174053,43.291751156271225,43.52747840675403,43.67648487902212,43.51030110443018,43.856170093720465,43.741179182834315,43.62202175442664,43.66241363242907,43.39748707611421,43.62090455617625,43.932464932580146,43.87872481701164,44.412931521427346,44.870374599300675,44.89038854148591,44.080979918827595,42.87349020610384,40.86857018252601,38.43142565091153,35.89087545384008,33.77477249720995,31.942596519839455,30.2383286666779,29.376451209855723,29.75226075577806,30.835107938726093,32.290397180478784,33.86919875284758,35.6149239130239,37.33829195499516,38.95132394820991,40.49768413043586,41.93747075928613,42.90963341472711,43.42714783925208,44.23307489753208,45.125596721813324,45.762721863758784,46.644344134009756,47.01050731022437,47.44262813689491,47.497198645564836,47.71892247362987,47.63649263710653,47.752303710197104,47.942066994551546,48.18334601466411,48.49927855015002,48.83909907740234,49.18898054761255,49.535095911972036,49.86361812167217,50.16072012790433
2Radar_17-22_2_2020;52.318015373189965,52.15978742339101,52.181857567926215,52.332760109176036,52.561029349520936,52.815199591341354,53.04380513701764,52.75740719756931,52.79648666854898,52.62496215751778,52.68266361775735,52.417134752965254,52.36293486181843,52.62260863662352,52.59591035009493,52.59547584800501,52.23167215029575,52.58125401173851,52.838093358234396,52.39354727564369,52.41322513704107,52.004390606828935,51.80426377018853,51.65744369326255,51.31602189936058,49.97943090188588,47.54446959027434,44.31835311879757,41.11883673198267,38.553361216264854,35.51534364276941,33.55374029215662,33.02785517177516,33.34224308279234,34.85047369503984,37.013325135296405,39.53417677437497,41.27387664217644,42.66466020783536,43.602499152649095,44.44647421669499,45.103805313051154,44.48859554749782,43.995725926129964,43.84545094673783,43.47842282972417,43.09369653443426,42.82312440365372,42.75441276946299,42.72973973279313,42.63088657035148,42.76327727774887,43.23851106454757,43.77167556985494,43.79028404099889,43.79124627477746,44.11155081458925,44.277604359074545,43.82591830865582,43.269002892596276,41.69027665102405,39.559223514729794,36.88350774250716,34.684061128579486,33.20891971445219,32.620468447920075,32.752163363216795,33.929737540484396,35.76779476257664,38.242077418094404,40.44486491888296,42.35841815870657,43.30291523382047,43.92314991734794,44.10140428647637,44.184467315448316,44.306594792239025,44.67124489392385,45.2076651330152,45.87251973310768,46.301663239671456,46.916550392157674,47.28774200827775,47.34117643824036,47.53471751090155,47.801812710788816,47.84256548360576,48.07049013368713,48.34101875662436,48.91028951434058,49.49559534372584,50.02445701723555,50.43185603346636,50.65277389101479,50.62219208847737,50.275092124450616
2Radar_24-29_2_2020;49.868297941115365,49.92447478231448,49.70931893128305,49.23445754337329,48.51151777393742,47.552126778327676,46.36791171189617,43.42399559242962,41.13082937768692,40.75277508716934,41.15470182958438,42.23627081931265,42.958762299883844,44.22811425805492,46.578314535506024,47.199957636235936,48.75267878834806,49.94266619268298,49.54483224858751,47.688990097025396,47.20546760723708,47.41564249901387,47.296847675021574,47.54975188052799,47.39084272053451,46.775113724329884,46.387497529016514,44.816978495920964,43.17891129749084,40.703083077654966,38.04702219840427,35.957542419735525,35.12221705403125,34.73622914189539,35.06181310213558,36.2506140967545,37.96260191650845,39.12289517661455,41.00411518571807,42.64014858997238,43.66357126592747,43.64688778473582,43.61785064902273,43.829111321201594,43.69157771489523,43.290412166068435,42.78301826506809,42.51338626873681,42.33562914622241,42.021384779525015,41.99437361565333,42.01849893678684,42.4042058905404,42.73363046753824,43.39394750832635,43.8482306097125,44.533823575528885,44.79431580492336,44.34931966599368,43.25118265074255,41.44656840877855,38.50823469801946,36.04532357501322,33.90587324416135,32.009877547164805,31.498550363901142,31.99157155617081,33.372766928456166,35.84942662593708,38.30454378335791,40.53607017582689,42.27795858882829,43.38332067564051,43.852302687952076,44.450842067170775,44.657238623373516,44.18144486472352,44.44769680423105,44.73832694276781,44.98094911284854,45.495722626922756,46.082510610750184,46.68111685876818,47.07143911454166,47.45227316705029,47.96403887118164,48.15055895944385,48.30286732532937,48.391890199316975,48.702527841142945,49.07528441572694,49.44326266018698,49.77683979486194,50.04639304009059,50.222299616211686,50.27493674356399
2Radar_3-8_2_2020;51.23412560290386,50.719894585052934,50.352433991348,50.10985033066479,49.970250111879054,49.91173984386653,49.91242603550281,49.914027149321115,49.99999999999985,49.99999999999985,49.99999999999985,49.99999999999985,49.99999999999985,49.99999999999985,49.99999999999985,49.99999999999985,49.99999999999985,49.99999999999985,49.99999999999985,49.99999999999985,49.99999999999985,49.99999999999985,49.99999999999985,49.99999999999985,49.99999999999985,49.99999999999985,49.99999999999985,49.99999999999985,49.99999999999985,49.99999999999985,49.99999999999985,49.99999999999985,50.51695941853407,50.60393099547496,50.80118200503495,49.246362498663764,47.75078950844646,46.002968822130086,44.358423303948115,43.02860520081944,42.13850431641456,41.70163316514955,41.477939867192674,41.956018149061094,43.03186102805921,43.84699968196106,44.56112267670261,43.98368200554122,44.23993177939752,44.090021212250306,44.13890448019803,44.31834030182181,44.47714780786643,44.62515393361059,44.65950683824746,44.72558835991468,44.98345883737227,44.91219215480542,44.23845331432683,43.531739902556716,42.075617924791295,39.752269566826,37.15322650624641,35.00520355979786,33.30540190897811,32.505759042966574,32.671858458831025,33.71205403628216,35.736031805839396,37.77313612643872,40.015434874193204,42.35067491870399,43.53163280252255,44.02833676258716,44.18205503767556,44.285303418523526,44.370098578130026,44.491867518128885,44.95067323237555,45.593518314936006,45.87173853287288,46.36050902116096,47.06910555244559,47.82244934731951,48.422048525890375,48.77781121377026,49.083137131867964,49.23659506806126,49.89610229775191,50.61255047080916,51.24048985978438,51.72542068382429,51.99052882581613,51.959000168647016,51.554020595204065,50.69877598837438
3Radar_16-21_3_2020;53.56474838297481,53.71566094906334,53.59554274212204,53.27369530844614,52.81942019433088,52.30201894607149,51.79079310996307,51.627352667827516,51.44750098828719,50.98447696998332,51.448592891916604,51.477146348637376,51.753010488801124,52.38466573463439,52.56792153006319,52.68469717431119,53.21559629005387,53.51412634036785,53.82558477332169,53.97994325985116,53.97877314974815,53.90438291370365,54.189091212912864,53.60193382043825,52.54261095100895,51.55737465690788,50.00507565339689,48.348914732825335,47.10022497019433,45.94056790446912,45.00885888188271,44.68141047219544,44.886077801279484,45.46765004659783,46.41632373119248,47.43471176981098,48.32707553649746,48.71293527122809,48.871156547615534,49.059879260558134,49.13918467862418,49.14747131103802,49.157457072703544,49.32452291611527,49.30711311465556,49.30706114601462,49.42729744473887,49.563932641912245,49.49966083864591,49.45658924621377,49.45301487249802,49.49097419255618,49.381182162672715,49.503105622217134,49.67418598689433,49.81315672186451,49.74393102120924,49.331997180709024,49.0419099297974,48.49699057133907,47.68957855459466,47.11395045707603,46.477652606253315,46.06215548285945,45.98084846085934,46.293374230165796,46.97791365355722,47.77252420682291,48.57970277345915,49.16028608537718,49.69471349086257,49.81766588398382,49.870465061020084,49.83859644037651,49.60534640392828,49.4855890703053,49.440304324604114,49.523965976523456,49.77155249724427,49.95867041763754,50.324524190185684,50.44562630936004,50.70670242112043,51.017659638214894,51.42025896160474,51.52749622856159,51.798437893722394,52.02068730434142,52.10251186749232,52.29045763189788,52.34582470567806,52.290689269706476,52.098178595340016,51.74141995393546,51.19354061684957,50.42766785543911
3Radar_2-7_3_2020;51.69368290074525,50.76701748669457,50.36227206572967,50.35901180910653,50.63680188808112,51.07520747390942,51.553793737847286,51.85717259418097,51.32737230071871,51.287682673058015,50.49617501052893,50.40425949763879,50.4519665940119,50.30889438843969,51.140607750834874,51.924991274322664,52.43227305522744,52.38596837622049,52.82661232870094,52.36209881587672,51.30573417489938,50.879592813599245,49.91845662599758,49.31281578373202,48.718971110896106,47.792270310348215,45.91423469361807,43.336893748598236,39.83225719459921,36.88998995128297,34.21148481929017,31.994974427289662,30.421127610761282,29.831229933178335,30.34154762252681,31.59075964512126,34.070702270679554,36.34693341738838,38.15154267187891,39.85107061909592,40.86770712919834,42.11864269179004,42.54491339946526,42.85655927312811,42.47496414779147,42.40968658530623,42.21311279898276,41.959250427715325,41.925890533869385,42.332606181973375,42.43230747891582,42.77405993213627,42.52957723187556,42.65004363040905,42.8981996505965,42.98384145080947,43.04423973141725,43.15045790894533,42.40878417560649,41.409147949044545,39.70182227267751,37.95966367993924,35.35555204639813,33.47295200080616,31.323622485504288,30.276475999064942,30.15135173697618,30.6724055033036,32.15055453202446,34.34453991069137,36.575468851726235,38.83447086231496,40.48164376388422,41.91964886978108,42.99483525216579,44.02923413500759,44.294825601042604,44.53297535169763,44.632774000809306,44.864272132946766,45.04122505270281,45.294332819400466,45.3392522390067,45.469410905990024,45.91136777591393,46.48667898059231,47.30680019886985,47.89316289108237,48.591168174280526,49.31878368092579,49.95766289864363,50.46081313458972,50.77712755147713,50.85549931201882,50.64482157892773,50.09398751491681
