spatial_id;temporal_id;label
1;1;0
1;2;0
1;3;0
1;4;0
1;5;0
1;6;1
1;7;0
1;8;1
2;1;0
2;2;0
2;3;0
2;4;0
2;5;0
2;6;0
2;7;1
2;8;1
3;1;0
3;2;0
3;3;0
3;4;0
3;5;0
3;6;0
3;7;0
3;8;0
4;1;0
4;2;0
4;3;1
4;4;0
4;5;0
4;6;0
4;7;0
4;8;0
5;1;0
5;2;0
5;3;1
5;4;0
5;5;0
5;6;0
5;7;0
5;8;0
6;1;0
6;2;0
6;3;0
6;4;0
6;5;0
6;6;1
6;7;0
6;8;0
7;1;0
7;2;0
7;3;0
7;4;0
7;5;0
7;6;1
7;7;1
7;8;0
8;1;0
8;2;0
8;3;0
8;4;1
8;5;0
8;6;0
8;7;0
8;8;0
9;1;0
9;2;0
9;3;0
9;4;0
9;5;0
9;6;0
9;7;0
9;8;0
10;1;0
10;2;0
10;3;0
10;4;1
10;5;1
10;6;0
10;7;0
10;8;0
11;1;0
11;2;0
11;3;0
11;4;1
11;5;0
11;6;0
11;7;0
11;8;0
12;1;0
12;2;0
12;3;0
12;4;1
12;5;1
12;6;1
12;7;1
12;8;0
13;1;0
13;2;0
13;3;0
13;4;0
13;5;0
13;6;1
13;7;0
13;8;0
14;1;0
14;2;0
14;3;0
14;4;0
14;5;1
14;6;0
14;7;0
14;8;1
15;1;0
15;2;0
15;3;0
15;4;0
15;5;0
15;6;0
15;7;1
15;8;0
16;1;0
16;2;0
16;3;0
16;4;0
16;5;0
16;6;0
16;7;0
16;8;0
17;1;0
17;2;0
17;3;0
17;4;0
17;5;0
17;6;0
17;7;1
17;8;0
18;1;0
18;2;0
18;3;0
18;4;0
18;5;0
18;6;1
18;7;0
18;8;0
19;1;0
19;2;0
19;3;0
19;4;0
19;5;0
19;6;0
19;7;0
19;8;0
20;1;0
20;2;0
20;3;0
20;4;0
20;5;0
20;6;0
20;7;0
20;8;0
21;1;0
21;2;0
21;3;0
21;4;0
21;5;0
21;6;0
21;7;0
21;8;0
22;1;0
22;2;0
22;3;0
22;4;0
22;5;0
22;6;0
22;7;0
22;8;0
23;1;0
23;2;0
23;3;0
23;4;0
23;5;0
23;6;0
23;7;0
23;8;1
24;1;0
24;2;1
24;3;0
24;4;0
24;5;1
24;6;0
24;7;0
24;8;0
25;1;0
25;2;0
25;3;0
25;4;0
25;5;0
25;6;1
25;7;0
25;8;0
26;1;0
26;2;0
26;3;0
26;4;0
26;5;0
26;6;0
26;7;0
26;8;0
27;1;0
27;2;0
27;3;0
27;4;0
27;5;0
27;6;0
27;7;1
27;8;0
28;1;0
28;2;0
28;3;0
28;4;0
28;5;1
28;6;0
28;7;1
28;8;0
29;1;0
29;2;0
29;3;0
29;4;0
29;5;0
29;6;0
29;7;0
29;8;0
30;1;0
30;2;0
30;3;0
30;4;0
30;5;0
30;6;0
30;7;0
30;8;1
31;1;0
31;2;0
31;3;0
31;4;0
31;5;0
31;6;0
31;7;0
31;8;0
32;1;0
32;2;0
32;3;0
32;4;0
32;5;0
32;6;0
32;7;0
32;8;0
33;1;0
33;2;0
33;3;0
33;4;1
33;5;0
33;6;1
33;7;0
33;8;0
34;1;0
34;2;0
34;3;0
34;4;0
34;5;1
34;6;0
34;7;0
34;8;0
35;1;0
35;2;0
35;3;0
35;4;0
35;5;0
35;6;0
35;7;0
35;8;0
36;1;0
36;2;0
36;3;0
36;4;1
36;5;0
36;6;1
36;7;0
36;8;1
37;1;0
37;2;0
37;3;1
37;4;0
37;5;0
37;6;0
37;7;0
37;8;0
38;1;0
38;2;0
38;3;0
38;4;0
38;5;0
38;6;0
38;7;0
38;8;0
39;1;0
39;2;0
39;3;0
39;4;0
39;5;0
39;6;0
39;7;0
39;8;1
40;1;0
40;2;0
40;3;0
40;4;1
40;5;1
40;6;1
40;7;0
40;8;1
41;1;0
41;2;0
41;3;0
41;4;0
41;5;0
41;6;0
41;7;0
41;8;0
42;1;0
42;2;0
42;3;0
42;4;1
42;5;0
42;6;0
42;7;0
42;8;0
43;1;0
43;2;0
43;3;0
43;4;0
43;5;0
43;6;0
43;7;0
43;8;0
44;1;0
44;2;0
44;3;0
44;4;0
44;5;0
44;6;0
44;7;0
44;8;0
45;1;0
45;2;0
45;3;0
45;4;0
45;5;0
45;6;0
45;7;1
45;8;0
46;1;0
46;2;0
46;3;1
46;4;0
46;5;0
46;6;0
46;7;1
46;8;0
47;1;0
47;2;0
47;3;0
47;4;0
47;5;0
47;6;0
47;7;0
47;8;1
48;1;0
48;2;0
48;3;1
48;4;0
48;5;0
48;6;0
48;7;0
48;8;0
49;1;0
49;2;0
49;3;0
49;4;0
49;5;1
49;6;0
49;7;1
49;8;0
50;1;0
50;2;0
50;3;1
50;4;0
50;5;0
50;6;0
50;7;0
50;8;0
51;1;0
51;2;0
51;3;0
51;4;1
51;5;0
51;6;0
51;7;0
51;8;0
52;1;0
52;2;1
52;3;0
52;4;0
52;5;0
52;6;0
52;7;0
52;8;0
53;1;0
53;2;0
53;3;1
53;4;0
53;5;0
53;6;0
53;7;0
53;8;0
54;1;0
54;2;0
54;3;1
54;4;0
54;5;0
54;6;0
54;7;0
54;8;0
55;1;0
55;2;0
55;3;1
55;4;0
55;5;0
55;6;0
55;7;1
55;8;0
56;1;0
56;2;0
56;3;1
56;4;0
56;5;1
56;6;0
56;7;0
56;8;0
57;1;0
57;2;0
57;3;0
57;4;0
57;5;0
57;6;0
57;7;0
57;8;1
58;1;0
58;2;0
58;3;0
58;4;0
58;5;0
58;6;0
58;7;0
58;8;0
59;1;0
59;2;0
59;3;0
59;4;0
59;5;0
59;6;0
59;7;0
59;8;0
60;1;0
60;2;0
60;3;0
60;4;0
60;5;0
60;6;0
60;7;0
60;8;0
61;1;0
61;2;0
61;3;0
61;4;0
61;5;0
61;6;0
61;7;0
61;8;0
62;1;0
62;2;0
62;3;0
62;4;0
62;5;0
62;6;1
62;7;0
62;8;0
63;1;0
63;2;0
63;3;0
63;4;0
63;5;0
63;6;0
63;7;0
63;8;0
64;1;0
64;2;0
64;3;0
64;4;1
64;5;0
64;6;0
64;7;0
64;8;0
65;1;0
65;2;0
65;3;0
65;4;1
65;5;0
65;6;0
65;7;0
65;8;0
66;1;0
66;2;0
66;3;0
66;4;0
66;5;0
66;6;1
66;7;0
66;8;0
67;1;0
67;2;0
67;3;0
67;4;0
67;5;0
67;6;1
67;7;0
67;8;0
68;1;0
68;2;0
68;3;0
68;4;0
68;5;0
68;6;0
68;7;0
68;8;0
69;1;0
69;2;0
69;3;0
69;4;0
69;5;0
69;6;1
69;7;0
69;8;0
70;1;0
70;2;0
70;3;0
70;4;1
70;5;0
70;6;0
70;7;0
70;8;0
71;1;0
71;2;0
71;3;0
71;4;0
71;5;0
71;6;1
71;7;0
71;8;0
72;1;0
72;2;0
72;3;0
72;4;0
72;5;0
72;6;0
72;7;0
72;8;0
73;1;1
73;2;0
73;3;1
73;4;0
73;5;0
73;6;1
73;7;0
73;8;0
74;1;0
74;2;0
74;3;0
74;4;0
74;5;1
74;6;1
74;7;1
74;8;0
75;1;0
75;2;0
75;3;0
75;4;0
75;5;1
75;6;0
75;7;1
75;8;0
76;1;0
76;2;0
76;3;0
76;4;0
76;5;0
76;6;0
76;7;1
76;8;0
77;1;0
77;2;0
77;3;0
77;4;0
77;5;0
77;6;0
77;7;0
77;8;0
78;1;0
78;2;0
78;3;0
78;4;0
78;5;0
78;6;0
78;7;0
78;8;0
79;1;0
79;2;0
79;3;0
79;4;0
79;5;0
79;6;1
79;7;0
79;8;0
80;1;0
80;2;0
80;3;0
80;4;1
80;5;0
80;6;0
80;7;0
80;8;0
81;1;0
81;2;0
81;3;0
81;4;0
81;5;0
81;6;1
81;7;0
81;8;0
82;1;0
82;2;0
82;3;0
82;4;0
82;5;0
82;6;0
82;7;0
82;8;0
83;1;0
83;2;0
83;3;0
83;4;0
83;5;1
83;6;1
83;7;0
83;8;0
84;1;0
84;2;0
84;3;0
84;4;1
84;5;0
84;6;0
84;7;1
84;8;0
85;1;0
85;2;0
85;3;0
85;4;0
85;5;0
85;6;0
85;7;0
85;8;0
86;1;1
86;2;0
86;3;0
86;4;0
86;5;0
86;6;0
86;7;0
86;8;1
87;1;0
87;2;0
87;3;1
87;4;0
87;5;0
87;6;1
87;7;0
87;8;1
88;1;0
88;2;0
88;3;0
88;4;0
88;5;0
88;6;0
88;7;0
88;8;0
89;1;0
89;2;0
89;3;0
89;4;0
89;5;0
89;6;0
89;7;1
89;8;0
90;1;0
90;2;0
90;3;0
90;4;0
90;5;1
90;6;0
90;7;0
90;8;1
91;1;0
91;2;0
91;3;0
91;4;0
91;5;1
91;6;0
91;7;0
91;8;0
92;1;0
92;2;0
92;3;0
92;4;0
92;5;1
92;6;0
92;7;0
92;8;0
93;1;0
93;2;0
93;3;0
93;4;0
93;5;0
93;6;1
93;7;0
93;8;0
94;1;0
94;2;0
94;3;0
94;4;0
94;5;1
94;6;0
94;7;0
94;8;1
95;1;0
95;2;0
95;3;0
95;4;0
95;5;1
95;6;0
95;7;0
95;8;1
96;1;0
96;2;0
96;3;1
96;4;0
96;5;0
96;6;0
96;7;0
96;8;0
97;1;0
97;2;0
97;3;0
97;4;0
97;5;0
97;6;1
97;7;0
97;8;0
98;1;0
98;2;0
98;3;1
98;4;0
98;5;0
98;6;0
98;7;0
98;8;0
99;1;0
99;2;0
99;3;0
99;4;0
99;5;0
99;6;1
99;7;0
99;8;0
100;1;0
100;2;1
100;3;0
100;4;0
100;5;0
100;6;0
100;7;0
100;8;0
101;1;0
101;2;0
101;3;0
101;4;0
101;5;0
101;6;0
101;7;0
101;8;0
102;1;0
102;2;0
102;3;0
102;4;0
102;5;0
102;6;0
102;7;0
102;8;0
103;1;0
103;2;0
103;3;0
103;4;0
103;5;0
103;6;0
103;7;0
103;8;1
104;1;0
104;2;0
104;3;0
104;4;0
104;5;0
104;6;0
104;7;0
104;8;0
105;1;0
105;2;0
105;3;0
105;4;0
105;5;0
105;6;0
105;7;0
105;8;0
106;1;0
106;2;0
106;3;0
106;4;0
106;5;1
106;6;0
106;7;0
106;8;0
107;1;0
107;2;0
107;3;0
107;4;0
107;5;0
107;6;0
107;7;0
107;8;0
108;1;0
108;2;0
108;3;0
108;4;0
108;5;0
108;6;1
108;7;0
108;8;0
109;1;0
109;2;0
109;3;0
109;4;0
109;5;1
109;6;0
109;7;0
109;8;0
110;1;0
110;2;0
110;3;0
110;4;0
110;5;1
110;6;0
110;7;0
110;8;1
111;1;0
111;2;0
111;3;0
111;4;1
